Episode,Reward,Lines Cleared
0,0,0
1,83,2
2,-2,0
3,-1,0
4,122,3
5,-1,0
6,164,4
7,-1,0
8,0,0
9,165,4
10,41,1
11,40,1
12,-2,0
13,0,0
14,40,1
15,206,5
16,41,1
17,102,2
18,165,4
19,0,0
20,-1,0
21,-1,0
22,41,1
23,-1,0
24,143,3
25,41,1
26,-2,0
27,123,3
28,-2,0
29,41,1
30,-1,0
31,124,3
32,123,3
33,81,2
34,-2,0
35,101,2
36,-1,0
37,0,0
38,123,3
39,82,2
40,41,1
41,83,2
42,-1,0
43,0,0
44,82,2
45,-2,0
46,41,1
47,-2,0
48,-1,0
49,-1,0
50,81,2
51,0,0
52,-2,0
53,0,0
54,82,2
55,40,1
56,-1,0
57,0,0
58,41,1
59,41,1
60,82,2
61,40,1
62,-1,0
63,41,1
64,-2,0
65,-1,0
66,40,1
67,-1,0
68,-2,0
69,40,1
70,0,0
71,-1,0
72,40,1
73,82,2
74,40,1
75,-1,0
76,0,0
77,-2,0
78,41,1
79,0,0
80,-1,0
81,40,1
82,41,1
83,41,1
84,-1,0
85,40,1
86,41,1
87,-1,0
88,165,4
89,-1,0
90,-3,0
91,0,0
92,82,2
93,-2,0
94,0,0
95,41,1
96,124,3
97,-2,0
98,-1,0
99,-1,0
100,102,2
101,-1,0
102,40,1
103,40,1
104,143,3
105,-1,0
106,41,1
107,266,6
108,0,0
109,-1,0
110,-1,0
111,-1,0
112,0,0
113,-1,0
114,0,0
115,0,0
116,82,2
117,-1,0
118,82,2
119,41,1
120,0,0
121,-1,0
122,-1,0
123,-1,0
124,-2,0
125,-1,0
126,0,0
127,0,0
128,82,2
129,41,1
130,-1,0
131,41,1
132,0,0
133,-1,0
134,-1,0
135,0,0
136,0,0
137,-1,0
138,123,3
139,0,0
140,41,1
141,82,2
142,-1,0
143,-2,0
144,-2,0
145,-1,0
146,0,0
147,-1,0
148,41,1
149,41,1
150,-1,0
151,-1,0
152,386,5
153,103,2
154,42,1
155,40,1
156,82,2
157,-1,0
158,83,2
159,-2,0
160,102,2
161,82,2
162,0,0
163,41,1
164,-1,0
165,-1,0
166,41,1
167,-2,0
168,41,1
169,-1,0
170,-1,0
171,-1,0
172,-1,0
173,185,4
174,0,0
175,81,2
176,-1,0
177,41,1
178,-1,0
179,0,0
180,41,1
181,40,1
182,184,4
183,0,0
184,-1,0
185,185,4
186,40,1
187,0,0
188,143,3
189,0,0
190,41,1
191,-1,0
192,40,1
193,144,3
194,0,0
195,83,2
196,-1,0
197,-1,0
198,42,1
199,-1,0
200,102,2
201,0,0
202,247,6
203,-1,0
204,-1,0
205,41,1
206,124,3
207,-1,0
208,41,1
209,82,2
210,-1,0
211,40,1
212,40,1
213,41,1
214,40,1
215,0,0
216,-1,0
217,-1,0
218,102,2
219,40,1
220,41,1
221,41,1
222,-1,0
223,-2,0
224,0,0
225,-1,0
226,82,2
227,593,10
228,-2,0
229,-2,0
230,-1,0
231,101,2
232,41,1
233,82,2
234,82,2
235,-1,0
236,-1,0
237,-1,0
238,40,1
239,41,1
240,-1,0
241,-1,0
242,40,1
243,-2,0
244,0,0
245,41,1
246,-1,0
247,41,1
248,226,5
249,41,1
250,-1,0
251,41,1
252,0,0
253,41,1
254,-1,0
255,40,1
256,41,1
257,-1,0
258,-2,0
259,40,1
260,82,2
261,123,3
262,41,1
263,227,5
264,489,7
265,184,4
266,-1,0
267,40,1
268,42,1
269,143,3
270,-2,0
271,-1,0
272,40,1
273,42,1
274,81,2
275,-2,0
276,0,0
277,82,2
278,-1,0
279,0,0
280,-1,0
281,-2,0
282,-2,0
283,-1,0
284,-1,0
285,-2,0
286,-1,0
287,41,1
288,41,1
289,-1,0
290,40,1
291,-1,0
292,0,0
293,-1,0
294,-1,0
295,-1,0
296,143,3
297,41,1
298,41,1
299,0,0
300,-1,0
301,41,1
302,-2,0
303,123,3
304,40,1
305,124,3
306,124,3
307,-1,0
308,-2,0
309,41,1
310,1,0
311,123,3
312,81,2
313,40,1
314,39,1
315,-2,0
316,0,0
317,0,0
318,-1,0
319,41,1
320,248,6
321,-1,0
322,82,2
323,-1,0
324,-1,0
325,0,0
326,-1,0
327,0,0
328,41,1
329,40,1
330,102,2
331,0,0
332,-1,0
333,0,0
334,41,1
335,0,0
336,-1,0
337,42,1
338,40,1
339,-1,0
340,0,0
341,165,4
342,0,0
343,-1,0
344,83,2
345,0,0
346,-1,0
347,-1,0
348,41,1
349,40,1
350,123,3
351,227,5
352,40,1
353,41,1
354,0,0
355,40,1
356,-2,0
357,-1,0
358,0,0
359,165,4
360,124,3
361,40,1
362,-1,0
363,41,1
364,0,0
365,-1,0
366,-1,0
367,41,1
368,40,1
369,0,0
370,42,1
371,0,0
372,-1,0
373,206,5
374,-1,0
375,82,2
376,103,2
377,82,2
378,102,2
379,0,0
380,-1,0
381,41,1
382,-1,0
383,41,1
384,123,3
385,0,0
386,-1,0
387,40,1
388,-1,0
389,-2,0
390,41,1
391,42,1
392,0,0
393,41,1
394,40,1
395,123,3
396,40,1
397,0,0
398,41,1
399,82,2
400,123,3
401,-1,0
402,40,1
403,-1,0
404,82,2
405,41,1
406,143,3
407,-1,0
408,41,1
409,41,1
410,-1,0
411,0,0
412,103,2
413,-1,0
414,83,2
415,-1,0
416,40,1
417,-1,0
418,40,1
419,-1,0
420,206,5
421,41,1
422,-1,0
423,-1,0
424,122,3
425,-2,0
426,144,3
427,42,1
428,-1,0
429,-1,0
430,82,2
431,-1,0
432,40,1
433,0,0
434,41,1
435,-2,0
436,0,0
437,123,3
438,-1,0
439,41,1
440,184,4
441,40,1
442,39,1
443,82,2
444,-1,0
445,-1,0
446,39,1
447,83,2
448,-2,0
449,-1,0
450,0,0
451,165,4
452,-1,0
453,82,2
454,-1,0
455,0,0
456,82,2
457,0,0
458,142,3
459,-1,0
